Processor,Single Core,Multi Core,Price,TDP,URL
AMD Ryzen 9 7950X,2985,19452,52710,170,https://zheleza.net/cpu/socket_cpu_am5/product--protsessor-amd-ryzen-9-7950x-am5-16-x-4500-mgts
AMD Ryzen 9 7900X,2957,17961,37710,170,https://zheleza.net/cpu/socket_cpu_am5/product--protsessor-amd-ryzen-9-7900x-am5-12-x-4700-mgts
AMD Ryzen 7 7700X,2944,15404,29460,105,https://zheleza.net/cpu/socket_cpu_am5/product--protsessor-amd-ryzen-7-7700x-am5-8-x-4500-mgts_oem
AMD Ryzen 9 7950X3D,2928,19679,61510,120,https://zheleza.net/cpu/socket_cpu_am5/processor-amd-ryzen-9-7950x3d-oem
AMD Ryzen 5 7600X,2891,12957,19450,105,https://zheleza.net/cpu/socket_cpu_am5/product--protsessor-amd-ryzen-5-7600x-am5-6-x-4700-mgts
AMD Ryzen 7 7700,2879,14976,23100,105,https://zheleza.net/cpu/socket_cpu_am5/processor-amd-ryzen-7-7700-oem
AMD Ryzen 9 7900X3D,2850,17528,53760,120,https://zheleza.net/cpu/socket_cpu_am5/processor-amd-ryzen-9-7900x3d-oem
Intel Core i5-13600KF,2787,15749,24940,125,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i5-13600kf-lga1700-14-x-3500-mgts
AMD Ryzen 5 7600,2746,12220,18500,105,https://zheleza.net/cpu/socket_cpu_am5/product--protsessor-amd-ryzen-5-7600-am5-6-x-3800-mgts
AMD Ryzen 5 7500F,2744,12616,15410,65,https://zheleza.net/cpu/socket_cpu_am5/processor-amd-ryzen-5-7500f-oem
AMD Ryzen 7 7800X3D,2725,15153,41060,120,https://zheleza.net/cpu/socket_cpu_am5/product--protsessor-amd-ryzen-7-7800x3d-am5-8-x-4200-box
Intel Core i5-13600K,2701,15116,28250,125,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i5-13600k-lga1700-14-x-3500-mgts
Intel Core i5-14500,2545,13293,25310,65,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i5-14500-oem
Intel Core i5-12600KF,2515,12286,19450,150,https://zheleza.net/cpu/lga1700_cat/intel-core-i5-12600kf-oem
Intel Core i5-12600K,2478,11858,19800,150,https://zheleza.net/cpu/lga1700_cat/intel-core-i5-12600k-oem
Intel Core i3-14100F,2440,8207,10740,110,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i3-14100f-oem
Intel Core i5-13500,2426,12299,23700,65,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i5-13500-lga1700-14-x-2500-mgts
Intel Core i3-14100,2405,7812,13870,110,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i3-14100-oem
Intel Core i5-14400,2395,11264,22500,148,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i5-14400-oem
Intel Core i5-14400F,2336,11517,18960,148,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i5-14400f-oem
Intel Core i5-12500,2330,8949,18460,45,https://zheleza.net/index.php?route=product/product&path=502_2190&product_id=137372
Intel Core i5-13400F,2298,10893,16530,148,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i5-13400f-lga1700-10-x-3200-mgts-oem
Intel Core i5-13400,2296,10203,18250,148,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i5-13400-lga1700-10-x-3200-mgts
Intel Core i3-13100F,2287,7728,9090,58,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i3-13100f-lga1700-4-x-3400-mgts
Intel Core i3-13100,2286,7506,12900,58,https://zheleza.net/cpu/lga1700_cat/product--protsessor-intel-core-i3-13100-lga1700-4-x-3400-mgts
Intel Core i3-12100F,2246,7494,6590,58,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i3-12100f-oem-cm8071504651013
Intel Core i5-12400F,2217,9072,10100,65,https://zheleza.net/cpu/lga1700_cat/intel_core_i512400f_oem
AMD Ryzen 7 5800X,2202,10262,19110,105,https://zheleza.net/cpu/am4_cat/amd-ryzen-r7-5800x-oem
Intel Core i5-12400,2201,8814,12720,65,https://zheleza.net/cpu/lga1700_cat/core-i5-12400-oem
Intel Core i3-12100,2167,6863,9750,60,https://zheleza.net/cpu/lga1700_cat/processor-intel-core-i3-12100--cm8071504651012--oem
AMD Ryzen 7 5700X,2145,9722,14550,65,https://zheleza.net/cpu/am4_cat/product--protsessor-amd-ryzen-7-5700x-am4-8-x-3400-mgts_oem
AMD Ryzen 7 5800X3D,2119,11077,33500,105,https://zheleza.net/cpu/am4_cat/product--protsessor-amd-ryzen-7-5800x3d-am4-8-x-3400-mgts
AMD Ryzen 5 5600X,2114,8694,10930,105,https://zheleza.net/index.php?route=product/product&path=502_1712&product_id=134773
Intel Core i5-11500,2016,7380,10860,65,https://zheleza.net/index.php?route=product/product&path=502_2135&product_id=136667
AMD Ryzen 7 5700G,2001,8812,15460,65,https://zheleza.net/index.php?route=product/product&path=502_1712&product_id=137309
Intel Core i5-11400F,1979,7617,9000,65,https://zheleza.net/cpu/lga_1200/intel-core-i5-11400f-oem
Intel Core i5-11400,1970,7337,12530,65,https://zheleza.net/cpu/lga_1200/processor-intel-core-i5-11400-oem
AMD Ryzen 5 5600G,1939,7727,11510,65,https://zheleza.net/cpu/am4_cat/amd-ryzen-r5-5600g-oem--100-000000252-
AMD Ryzen 7 5700X3D,1926,10130,19410,105,https://zheleza.net/cpu/am4_cat/processor-amd-ryzen-r7-5700x3d-oem
AMD Ryzen 5 5500,1878,7694,7990,65,https://zheleza.net/cpu/am4_cat/processor-amd-ryzen-5-5500-oem
Intel Core i5-10600KF,1698,6784,10750,125,https://zheleza.net/cpu/lga_1200/processor_intel_core_i5_10600kf_box
Intel Celeron G6900,1688,2804,5790,46,https://zheleza.net/cpu/lga1700_cat/processor-intel-celeron-g6900-oem
Intel Core i5-10600K,1686,6886,13580,125,https://zheleza.net/cpu/lga_1200/processor_intel_core_i5_10600k
Intel Core i5-9600KF,1615,5763,19010,95,https://zheleza.net/cpu/lga1151-v2/intel-core-i5-9600kf-box
AMD Ryzen 5 3600,1614,6916,7060,95,https://zheleza.net/cpu/am4_cat/processor_amd_ryzen_5_3600_oem
AMD Ryzen 5 PRO 4650G,1568,6162,9440,65,https://zheleza.net/cpu/am4_cat/processor_amd_ryzen_5_pro_4650g
AMD Ryzen 5 4500,1562,6220,6100,65,https://zheleza.net/cpu/am4_cat/processor-amd-ryzen-5-4500-oem
Intel Core i3-10300,1537,4784,10280,65,https://zheleza.net/cpu/lga_1200/processor_intel_core_i3_10300_oem
Intel Core i5-10500,1527,5481,13020,65,https://zheleza.net/cpu/lga_1200/intel_core_i5-10500_oem
Intel Core i3-10105,1483,4343,9210,65,https://zheleza.net/cpu/lga_1200/intel-original-core-i3-10105-oem
Intel Core i3-10105F,1473,4532,5680,65,https://zheleza.net/index.php?route=product/product&path=502_2135&product_id=136078
Intel Core i5-10400F,1456,5767,8540,65,https://zheleza.net/cpu/lga_1200/processor_intel_core_i5_10400f
Intel Core i3-10100F,1452,4505,5330,65,https://zheleza.net/cpu/lga_1200/processor_intel_core_i3_10100f
Intel Core i5-10400,1445,5524,11570,65,https://zheleza.net/cpu/lga_1200/processor_intel_core_i5_10400_oem
Intel Core i3-10100,1436,4236,9210,65,https://zheleza.net/cpu/lga_1200/processor_intel_core_i3_10100
Intel Core i3-8300,1319,3758,14790,62,https://zheleza.net/cpu/lga1151-v2/intel-core-i3-8300-oem
AMD Ryzen 3 3200G,1074,3057,6240,35,https://zheleza.net/cpu/am4_cat/processor_amd_ryzen_3_3200g_oem
AMD Athlon 3000G,959,1966,3870,35,https://zheleza.net/index.php?route=product/product&path=502_1712&product_id=136079
AMD Athlon 200GE,918,1898,3390,35,https://zheleza.net/cpu/am4_cat/processor_amd_athlon_200ge_raven_ridge_am4_l3_4096kb_oem
Intel Celeron G5905,740,1260,3570,58,https://zheleza.net/cpu/lga_1200/processor_intel_celeron_g5905
Intel Celeron G5900,663,1045,4160,58,https://zheleza.net/cpu/lga_1200/processor_intel_celeron_g5900_oem
AMD Athlon X4 950,656,1621,4310,65,https://zheleza.net/cpu/am4_cat/processor_amd_athlon_x4_950_bristol_ridge_am4_l2_2048kb_
AMD A6-9500,653,954,4100,65,https://zheleza.net/cpu/am4_cat/amd-a6-9500-bristol-ridge
AMD A10-9700,647,1596,4820,65,https://zheleza.net/cpu/am4_cat/processor_amd_a10_9700_bristol_ridge_am4_l2_2048kb_
Intel Celeron G4930,643,1068,3570,54,https://zheleza.net/cpu/lga1151-v2/processor_intel_celeron_g4930
AMD A8-9600,613,1508,4610,65,https://zheleza.net/cpu/am4_cat/processor_amd_a8_9600_bristol_ridge_am4_l2_2048kb_
Intel Celeron G4900,605,1031,2860,54,https://zheleza.net/cpu/lga1151-v2/processor_intel_celeron_g4900_coffee_lake_3100mhz_lga1151_v2_l3_2048kb_
Intel Celeron G3900,585,999,1690,51,https://zheleza.net/cpu/lga1151-v2/processor-intel-celeron-g3900-oem
Intel Celeron G1820,492,840,5010,53,https://zheleza.net/cpu/s1150-cpu/intel_celeron_g1820_haswell_2700mhz_lga1150_l3_2048kb_
